Date Raw;Date Parsed;Holders Count
1520985600000;03/14/2018;91
1521072000000;03/15/2018;95
1521158400000;03/16/2018;104
1521244800000;03/17/2018;109
1521331200000;03/18/2018;111
1521417600000;03/19/2018;113
1521504000000;03/20/2018;115
1521590400000;03/21/2018;117
1521676800000;03/22/2018;121
1521763200000;03/23/2018;123
1521849600000;03/24/2018;127
1521936000000;03/25/2018;120
1522022400000;03/26/2018;111
1522108800000;03/27/2018;114
1522195200000;03/28/2018;112
1522281600000;03/29/2018;113
1522368000000;03/30/2018;115
1522454400000;03/31/2018;120
1522540800000;04/01/2018;126
1522627200000;04/02/2018;128
1522713600000;04/03/2018;130
1522800000000;04/04/2018;135
1522886400000;04/05/2018;136
1522972800000;04/06/2018;136
1523059200000;04/07/2018;147
1523145600000;04/08/2018;152
1523232000000;04/09/2018;161
1523318400000;04/10/2018;161
1523404800000;04/11/2018;168
1523491200000;04/12/2018;177
1523577600000;04/13/2018;186
1523664000000;04/14/2018;191
1523750400000;04/15/2018;198
1523836800000;04/16/2018;213
1523923200000;04/17/2018;216
1524009600000;04/18/2018;216
1524096000000;04/19/2018;219
1524182400000;04/20/2018;221
1524268800000;04/21/2018;222
1524355200000;04/22/2018;223
1524441600000;04/23/2018;224
1524528000000;04/24/2018;224
1524614400000;04/25/2018;221
1524700800000;04/26/2018;220
1524787200000;04/27/2018;219
1524873600000;04/28/2018;219
1524960000000;04/29/2018;219
1525046400000;04/30/2018;219
1525132800000;05/01/2018;219
1525219200000;05/02/2018;221
1525305600000;05/03/2018;220
1525392000000;05/04/2018;230
1525478400000;05/05/2018;234
1525564800000;05/06/2018;236
1525651200000;05/07/2018;240
1525737600000;05/08/2018;240
1525824000000;05/09/2018;238
1525910400000;05/10/2018;240
1525996800000;05/11/2018;237
1526083200000;05/12/2018;236
1526169600000;05/13/2018;235
1526256000000;05/14/2018;235
1526342400000;05/15/2018;234
1526428800000;05/16/2018;235
1526515200000;05/17/2018;235
1526601600000;05/18/2018;235
1526688000000;05/19/2018;239
1526774400000;05/20/2018;240
1526860800000;05/21/2018;241
1526947200000;05/22/2018;242
1527033600000;05/23/2018;242
1527120000000;05/24/2018;242
1527206400000;05/25/2018;242
1527292800000;05/26/2018;241
1527379200000;05/27/2018;241
1527465600000;05/28/2018;243
1527552000000;05/29/2018;244
1527638400000;05/30/2018;246
1527724800000;05/31/2018;249
1527811200000;06/01/2018;247
1527897600000;06/02/2018;244
1527984000000;06/03/2018;242
1528070400000;06/04/2018;243
1528156800000;06/05/2018;243
1528243200000;06/06/2018;243
1528329600000;06/07/2018;246
1528416000000;06/08/2018;250
1528502400000;06/09/2018;252
1528588800000;06/10/2018;257
1528675200000;06/11/2018;261
1528761600000;06/12/2018;264
1528848000000;06/13/2018;266
1528934400000;06/14/2018;271
1529020800000;06/15/2018;272
1529107200000;06/16/2018;273
1529193600000;06/17/2018;278
1529280000000;06/18/2018;280
1529366400000;06/19/2018;285
1529452800000;06/20/2018;289
1529539200000;06/21/2018;291
1529625600000;06/22/2018;293
1529712000000;06/23/2018;295
1529798400000;06/24/2018;298
1529884800000;06/25/2018;301
1529971200000;06/26/2018;304
1530057600000;06/27/2018;301
1530144000000;06/28/2018;302
1530230400000;06/29/2018;302
1530316800000;06/30/2018;303
1530403200000;07/01/2018;304
1530489600000;07/02/2018;306
1530576000000;07/03/2018;306
1530662400000;07/04/2018;307
1530748800000;07/05/2018;310
1530835200000;07/06/2018;314
1530921600000;07/07/2018;318
1531008000000;07/08/2018;320
1531094400000;07/09/2018;321
1531180800000;07/10/2018;322
1531267200000;07/11/2018;324
1531353600000;07/12/2018;324
1531440000000;07/13/2018;326
1531526400000;07/14/2018;327
1531612800000;07/15/2018;326
1531699200000;07/16/2018;328
1531785600000;07/17/2018;327
1531872000000;07/18/2018;329
1531958400000;07/19/2018;328
1532044800000;07/20/2018;328
1532131200000;07/21/2018;329
1532217600000;07/22/2018;330
1532304000000;07/23/2018;331
1532390400000;07/24/2018;332
1532476800000;07/25/2018;332
1532563200000;07/26/2018;333
1532649600000;07/27/2018;336
1532736000000;07/28/2018;338
1532822400000;07/29/2018;339
1532908800000;07/30/2018;338
1532995200000;07/31/2018;343
1533081600000;08/01/2018;343
1533168000000;08/02/2018;347
1533254400000;08/03/2018;354
1533340800000;08/04/2018;355
1533427200000;08/05/2018;356
1533513600000;08/06/2018;357
1533600000000;08/07/2018;357
1533686400000;08/08/2018;357
1533772800000;08/09/2018;358
1533859200000;08/10/2018;362
1533945600000;08/11/2018;361
1534032000000;08/12/2018;360
1534118400000;08/13/2018;364
1534204800000;08/14/2018;367
1534291200000;08/15/2018;366
1534377600000;08/16/2018;366
1534464000000;08/17/2018;370
1534550400000;08/18/2018;371
1534636800000;08/19/2018;373
1534723200000;08/20/2018;374
1534809600000;08/21/2018;374
1534896000000;08/22/2018;372
1534982400000;08/23/2018;373
1535068800000;08/24/2018;372
1535155200000;08/25/2018;371
1535241600000;08/26/2018;372
1535328000000;08/27/2018;373
1535414400000;08/28/2018;375
1535500800000;08/29/2018;374
1535587200000;08/30/2018;372
1535673600000;08/31/2018;372
1535760000000;09/01/2018;372
1535846400000;09/02/2018;374
1535932800000;09/03/2018;373
1536019200000;09/04/2018;375
1536105600000;09/05/2018;372
1536192000000;09/06/2018;375
1536278400000;09/07/2018;375
1536364800000;09/08/2018;377
1536451200000;09/09/2018;377
1536537600000;09/10/2018;377
1536624000000;09/11/2018;379
1536710400000;09/12/2018;383
1536796800000;09/13/2018;384
1536883200000;09/14/2018;384
1536969600000;09/15/2018;387
1537056000000;09/16/2018;385
1537142400000;09/17/2018;387
1537228800000;09/18/2018;388
1537315200000;09/19/2018;391
1537401600000;09/20/2018;390
1537488000000;09/21/2018;389
1537574400000;09/22/2018;391
1537660800000;09/23/2018;388
1537747200000;09/24/2018;384
1537833600000;09/25/2018;386
1537920000000;09/26/2018;386
1538006400000;09/27/2018;384
1538092800000;09/28/2018;386
1538179200000;09/29/2018;389
1538265600000;09/30/2018;395
1538352000000;10/01/2018;400
1538438400000;10/02/2018;401
1538524800000;10/03/2018;401
1538611200000;10/04/2018;401
1538697600000;10/05/2018;401
1538784000000;10/06/2018;405
1538870400000;10/07/2018;408
1538956800000;10/08/2018;411
1539043200000;10/09/2018;419
1539129600000;10/10/2018;424
1539216000000;10/11/2018;423
1539302400000;10/12/2018;425
1539388800000;10/13/2018;431
1539475200000;10/14/2018;432
1539561600000;10/15/2018;444
1539648000000;10/16/2018;440
1539734400000;10/17/2018;440
1539820800000;10/18/2018;442
1539907200000;10/19/2018;445
1539993600000;10/20/2018;448
1540080000000;10/21/2018;450
1540166400000;10/22/2018;453
